item_id,is_book_in,is_book_out,is_negative_in,is_negative_out,is_book,is_negative,Y,tokens
0,0,5,0,5,0,0,0,6 1/2 month old baby n't walking yet go put foot without shoe move leg lot usually kick shoe sock stay better 've tried ca_n't pull easily holding well wash color match color used baby 's outfit market nice `` non-slip '' part printing bottom foot say `` loveable friend '' soft rubberish kind printing feel nice finger started using baby turned 5 month old stayed well seem like fit another month overall nice sock good price highly_recommended
1,0,5,0,5,0,0,0,shoe exactly looking worried reading previous customer review shoe run small/narrow wide foot however fit perfectly strap feminine gold sole provides enough glitz retail price 105 beat great deal
2,0,4,0,5,0,0,0,first purchase amazon.com thrilled first fact found exactly looking second came much quicker expected delivery schedule.thank
3,0,5,0,5,0,0,0,cashmere feel lay like fabric one cashmere item suggest shawl light weight warm look chic wrapped cashmere
4,1,4,0,5,0,0,0,good quality jean affordable price size right quite comfortable
5,0,5,0,5,0,0,0,absolutely_love panty girlfriend look hot playing panty much fun great gif
6,0,5,1,4,0,0,0,use bunch athletic shoe find asics gel nimbus pair pick time light incredibly 'springy shoe provide right amount cushion much superior opinion nb saucony.the price one thing happy manufacturer term pricing specialized shoe
7,0,5,5,0,0,1,0,two packet panty large also n't like cotton since opened one packet three kept sent unopened packet 3 back n't like them.jeanne allen
8,0,5,0,5,0,0,0,read people 's review ordering little bag sniffed arrived certain odor smelling believe smell alot like clothes arrive packaged overseas etc told last clothing store worked smell spray used kill insect like eat material used clothing purse like find offensive smell disappear overnight.the bag adorable chic
9,0,5,0,5,0,0,0,sneaker good looking nostalgic comfortable wear going night long lasting.i would certainly recommend sneaker
10,0,4,0,5,0,0,0,... would look fine either by-tor snow dog ... highly_recommended
11,0,5,1,2,0,1,0,last 2 week try n't_believe
12,0,5,0,5,0,0,0,used avent 1st baby loved expecting another munchkin planning using loved loved simple made store milk straight isi pump fridge/freezer simple yes defrosting take longer alternative always bottle fridge one defrosting found warming boiling pot water work best quick defrost take room bag storing think convience outweighed problem stored milk fridge freezer learned rotate room n't terrible problem important label date container also saved defrosting last minute leaking issue time time figured tighten container/bottle much leak simple fix ... n't over-tighten avent 's site short trouble shooting list leakage problem tried product avent best family
13,0,5,0,5,0,0,0,absolutely_love pump fast effective get way milk pump tried also -- thing expensive shop around n't overpay got mine private practice lc add little love.com got pump great price owner helped issue bottom line pump great someone help support
14,0,5,5,0,0,1,0,bought toy 6-month old son grow next year seemed offer variety way learn play putting together christmas morning piece snap together securely kept falling also one light work poor construction toy disappointing coming fischer-price returning exchanging toy luckily son young enough miss
15,0,5,0,5,0,0,0,purchased newborn trouble sleeping always woke congested strangled since started using wedge n't problem 5 month old
16,0,5,0,5,0,0,0,boy love draw car cup sit kinda pain short drive wonderful longer trip
17,0,5,0,5,0,0,0,happy selling outside gift set.. never lip gloss taste look feel great amber dolly plan try color best ever tried
18,1,4,1,4,0,0,0,ordered 30-day supply murad acne complex -- see always oily skin little bump forehead -- biggest problem blackhead cheeks/nose painful red bump always show shave week acne complex immediately noticed reduction post-razor bump well little red bump forehead refining mask amazing let sit face 10 minute 'll amazed make blackhead disappear plus murad 's formula n't drying benzoyl peroxide mean irritation drying bleaching collar expensive shirt 've got acne problem owe give acne complex try
19,0,5,0,5,0,0,0,ok n't already aware blotting paper merely material use separate bum public toilet however inclined stuff seat cover purse sephora put blotting paper mini roller attractive light blue container better packaging option small paper offered kleenix-box style sephora 's rolling sheet option allows take much need offer efficient cutting edge easy tearing 's 'm talking
20,5,0,0,5,1,0,0,impressed inventivness book child bought book fond wanting
21,5,0,0,5,1,0,0,absolutely_love book even_though designer n't much card/invitation design typography graphic element still inspiring everyday work make fun coffee table book well
