item_id,not_eye_witness_in,not_eye_witness_out,informative_in,informative_out,y_in,y_out,y,tokens
0,4,0,4,0,4,0,0,important  gt jebbush suggests federal govt crucial storm recovery tcopvsv6qos haction 2012 sandy
1,3,1,0,4,0,4,0,chrismara816 screw sandy skipped right ahead christmas  tco8qgz3ond chris
2,3,1,3,1,2,2,1,learning network sandy teaching tool tcoivftlglt parenting
3,4,1,2,3,2,3,0,espectacular timelapse delhuracn sandy tcol72evxgn
4,3,1,3,1,3,1,0,nyers tough nail rt isardasorensen rainbow nyc skyoffer glimpsehope hurricanesandy tcogyy24rm1
5,3,1,4,0,3,1,1,nyc transport service lockdown shop closed street deserted hurricanesandy hit tcoeochjbda
6,2,1,0,3,0,3,0, 1010winsnewyork hurricanesandy doesn  halt nyc  dining scene many restaurant still open delivering tco1auxxcvv
7,2,1,2,1,1,2,0,wind picking  sandy
8,3,1,1,3,1,3,0,furaco sandy promete tocar putedo em nova york vamos pular desmente jnior
9,4,0,0,4,0,4,0,mentionto figure ruse tcod71bnvo1
10,4,2,4,2,2,4,0,newyorkpost rainbow today s nyc skyoffer glimpsehope hurricanesandy tcoj5nsmeab via isardasorensen
11,3,0,0,3,0,3,0,pisces individual learn repair specific tcokrr0mnuh
12,3,1,2,2,2,2,0, mattortega gop operative romney bundler spread false rumor sandy nyc lastnight tcoxlckgn2l
13,3,0,1,2,1,2,0,darla tobinblakes wrote massive 60 million affectedhurricane sandy prayer
14,3,0,1,2,1,2,0,thought well wish staff customer friend path hurricanesandy please staysafe
15,3,0,0,3,0,3,0, nyc never sleep sandy cooled zero het gewone leven begint langzaam weer 
16,3,0,0,3,0,3,0,whole week school  well thankyou sandy
17,5,1,3,3,3,3,1, knicksnets season opener barclays center could postponed due superstormsandy noooo
18,3,1,3,1,3,1,1,hurricanesandy lash u eastcoast path newyork  live update tcoebqnxv3t via guardian
19,0,0,0,0,0,0,1,impact state state sandy winding spent much fury past two day crashing  tcoih7gcpgq
20,1,2,1,2,0,3,0,re prepared rt dadrain bring sandy park slope brooklyn tco09dbktih
21,3,0,1,2,1,2,0, depresseddarth hurricane nt destroy jersey shore house death star might finish job sandy
22,3,0,3,0,3,0,0,apps firstperson account emergency hospital evacuation nyc sandy poweroutage tcoarjk8gpd
23,6,1,3,4,3,4,0, niftynyc nymarathon happen year sandy nyc tco7ineum6v
24,3,0,3,0,3,0,0,sandynyc misinformation superstormsandy rumor cost congressional campaign manager job tcovknzi2pg via abc
25,4,0,2,2,2,2,0,ipad must check manufactured personal day tcorfdoov0a
26,3,0,3,0,3,0,0,powerless newyorkers find creative way charge gadget pic tco1lqhjhc1 see tcosleqwb4f
27,2,1,3,0,2,1,1, iansomerhalder wowso surreal rt ryotnews photo slideshow amp update sandy aftermath instagram tcoep6eqfcr nyc nj
28,4,0,0,4,0,4,0, francisboulle gangnam style actually giant raindance ve brought sandy
29,3,0,1,2,1,2,0, theironsheik wish hurricanesandy go zachbraff house fuck as till die dog shit rape
30,2,2,2,2,1,3,0, 69db wow cant believe shark swimming streetsyard nycnew jersey scary     keep safe guy sandy tcopjhbb2v9
31,2,1,1,2,1,2,0,obviously sandy nt listening obama said going stop rise ocean
32,3,0,3,0,3,0,0,breaking sandy make landfall nj tco4ve8aclk
33,2,1,3,0,2,1,1,sportssturm hey bob ask bracketdan 39 american death sandy count major storm  
34,3,0,0,3,0,3,0,contrerasrafael desastre sandy nyc amigo yo bien gracias dios tenido luz
35,2,2,2,2,1,3,1, desboislilou ouragan sandy requins nyc 2012 tcoosjfadfi
36,3,0,3,0,3,0,0, irisheagle sandy meteorologist said october 22 week historic storm tco5gu639tq
37,4,0,2,2,2,2,0, nycarecs nypd calling cop people  breaking store  around mermaid ave crime nyc sandy
38,3,1,3,1,3,1,1, nymag rt mikebloomberg next update nyc s response sandy 11 1030 watch live tcork7nhpe6
39,2,1,0,3,0,3,0, thejowett people choose ignore professional advice hurricanesandy absolutely sympathy re clearly idiot
40,3,1,1,3,1,3,0, youranonnews statue liberty right tcowaxbbzuc sandy
41,2,1,3,0,2,1,1, nbcnews live blog surreal scene aftermath sandy government response tco03mhqjfx
42,3,0,0,3,0,3,0, 1tuiteiro boatos que furaco sandy  imortal e que no vai morrer final
43,3,0,3,0,3,0,0,sandy wreaks havoc houston symphony concert violinist swoop save day tco0uzfxa3w
